Year,Month,Professional Area,License Type,County,State,Count
2025,February,Bail Bonds,Bail Bond Recovery Agent,Unknown or Out of State,OR,3
2025,February,Funerals,Funeral Director,Kitsap,WA,17
2025,February,Auctioneers and Auction Company,Auctioneer,Unknown or Out of State,IL,3
2025,February,Geologist,Geologist,Unknown or Out of State,IN,8
2025,February,Cosmetology,Barber,Kittitas,WA,10
2025,February,Cosmetology,Esthetician,Unknown or Out of State,KS,8
2025,February,Sellers of Travel,Sellers of Travel,Yakima,WA,14
2025,February,Cosmetology,Instructor,Pierce,WA,229
2025,February,Notary Public,Notary Public,Grays Harbor,WA,737
2025,February,Cosmetology,Esthetician,Unknown or Out of State,CA,274
2025,February,Notary Public,Notary Public,Clallam,WA,649
2025,February,Private Investigator,Private Investigator,Clallam,WA,12
2025,February,Real Estate,Real Estate Managing Broker,Grays Harbor,WA,56
2025,February,Sellers of Travel,Out of State Seller of Travel,Unknown or Out of State,OH,7
2025,February,Appraisers - Real Estate,Appraiser Trainee,Kittitas,WA,1
2025,February,Architects,Architect,Kitsap,WA,175
2025,February,Home Inspector,Home Inspector,Skagit,WA,24
2025,February,Cosmetology,Esthetician,Unknown or Out of State,TN,17
2025,February,Cemeteries,Crematory Operator,Whatcom,WA,9
2025,February,Geologist,Geologist,Kittitas,WA,9
2025,February,Cosmetology,Hair Designer,Pierce,WA,113
2025,February,CDL Training and Examining,CDL Training Instructor,Adams,WA,15
2025,February,Private Investigator,Private Investigator,Unknown or Out of State,KY,1
2025,February,Cosmetology,Manicurist,Unknown or Out of State,OK,4
2025,February,Real Estate,Real Estate Broker,Unknown or Out of State,AE,2
2025,February,Architects,Architect Firm,Unknown or Out of State,ID,24
2025,February,Court Reporters,Court Reporter,Pierce,WA,55
2025,February,Cosmetology,Master Esthetician,Kittitas,WA,11
2025,February,Cosmetology,Esthetician,Pend Oreille,WA,4
2025,February,Architects,Architect,Unknown or Out of State,IA,10
2025,February,Cosmetology,Master Esthetician,Franklin,WA,54
2025,February,Cosmetology,Cosmetologist,Unknown or Out of State,AK,74
2025,February,Funerals,Funeral Director,Grant,WA,8
2025,February,Cosmetology,Master Esthetician,Pend Oreille,WA,3
2025,February,Cosmetology,Barber,Unknown or Out of State,TX,11
2025,February,Architects,Architect,Unknown or Out of State,Out of State,54
2025,February,Sellers of Travel,Sellers of Travel,Unknown or Out of State,CA,1
2025,February,Geologist,Geologist In Training,Unknown or Out of State,ID,2
2025,February,Appraisal Management Companies,Appraisal Management Company,Unknown or Out of State,NY,4
2025,February,Body Art and Body Piercing,Permanent Cosmetics,Unknown or Out of State,Out of State,3
2025,February,Appraisers - Real Estate,Certified General Appraiser,Franklin,WA,5
